District Name,District Code,Category,Student Group,ELACount,ELAPerformanceIndex,MathCount,MathPerformanceIndex,ScienceCount,SciencePerformanceIndex
Cromwell School District,0330011,Race/Ethnicity,Asian,75,73.2,74,71.3,N/A,N/A
Cromwell School District,0330011,Race/Ethnicity,Black or African American,100,62.1,100,56,N/A,N/A
Cromwell School District,0330011,Race/Ethnicity,Hispanic or Latino,84,62.9,83,56.5,N/A,N/A
Cromwell School District,0330011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Cromwell School District,0330011,Race/Ethnicity,Two or More Races,24,64,24,56.3,N/A,N/A
Cromwell School District,0330011,Race/Ethnicity,White,745,74,745,69.5,N/A,N/A
Cromwell School District,0330011,Special Education Status (SWD),Students with Disabilities,112,51.2,110,44.3,N/A,N/A
Cromwell School District,0330011,Special Education Status (SWD),Students without Disabilities,923,74.2,923,69.7,N/A,N/A
Danbury School District,0340011,All Students,District,5585,64.2,5580,58.7,N/A,N/A
Danbury School District,0340011,English Language Learners (EL),English Learners,1929,59.2,1927,55.4,N/A,N/A
Danbury School District,0340011,English Language Learners (EL),Not English Learners,3656,66.8,3653,60.5,N/A,N/A
Danbury School District,0340011,Gender,Female,2750,66.7,2749,58.7,N/A,N/A
Danbury School District,0340011,Gender,Male,2835,61.7,2831,58.8,N/A,N/A
Danbury School District,0340011,Grade,3,870,66.2,870,60.5,N/A,N/A
Danbury School District,0340011,Grade,4,866,70,865,67,N/A,N/A
Danbury School District,0340011,Grade,5,870,69,870,67.4,N/A,N/A
Danbury School District,0340011,Grade,6,742,65.4,741,59,N/A,N/A
Danbury School District,0340011,Grade,7,822,63,819,53.2,N/A,N/A
Danbury School District,0340011,Grade,8,791,59.8,791,51.7,N/A,N/A
Danbury School District,0340011,Grade,11,624,52.3,624,48.7,N/A,N/A
Danbury School District,0340011,"High Needs (F/R, EL or SWD)",High Needs,4000,60.4,3996,55.1,N/A,N/A
Danbury School District,0340011,"High Needs (F/R, EL or SWD)",Not High Needs,1585,73.8,1584,67.8,N/A,N/A
Danbury School District,0340011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,3587,60.8,3585,55.6,N/A,N/A
Danbury School District,0340011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,1998,70.1,1995,64.4,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,American Indian or Alaska Native,7,*,7,*,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,Asian,359,71.3,359,68.3,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,Black or African American,412,61.9,413,52.9,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,Hispanic or Latino,2747,60.4,2745,55.5,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,Two or More Races,167,68.3,167,61.7,N/A,N/A
Danbury School District,0340011,Race/Ethnicity,White,1891,68.5,1887,62.8,N/A,N/A
Danbury School District,0340011,Special Education Status (SWD),Students with Disabilities,737,44.7,736,39.2,N/A,N/A
Danbury School District,0340011,Special Education Status (SWD),Students without Disabilities,4848,67.1,4844,61.7,N/A,N/A
Darien School District,0350011,All Students,District,2531,82.6,2531,81.4,N/A,N/A
Darien School District,0350011,English Language Learners (EL),English Learners,22,71.8,22,71.5,N/A,N/A
Darien School District,0350011,English Language Learners (EL),Not English Learners,2509,82.7,2509,81.5,N/A,N/A
Darien School District,0350011,Gender,Female,1238,85.8,1238,81.3,N/A,N/A
Darien School District,0350011,Gender,Male,1293,79.5,1293,81.4,N/A,N/A
Darien School District,0350011,Grade,3,359,82,359,79.5,N/A,N/A
Darien School District,0350011,Grade,4,392,85.4,392,82.8,N/A,N/A
Darien School District,0350011,Grade,5,368,84.1,368,81.7,N/A,N/A
Darien School District,0350011,Grade,6,364,85.5,364,83.7,N/A,N/A
Darien School District,0350011,Grade,7,349,84.4,349,84.3,N/A,N/A
Darien School District,0350011,Grade,8,394,81.7,394,82.2,N/A,N/A
Darien School District,0350011,Grade,11,305,73.4,305,74.2,N/A,N/A
Darien School District,0350011,"High Needs (F/R, EL or SWD)",High Needs,410,66.2,410,63.4,N/A,N/A
Darien School District,0350011,"High Needs (F/R, EL or SWD)",Not High Needs,2121,85.8,2121,84.8,N/A,N/A
Darien School District,0350011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,58,68.6,58,64.9,N/A,N/A
Darien School District,0350011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,2473,82.9,2473,81.8,N/A,N/A
Darien School District,0350011,Race/Ethnicity,American Indian or Alaska Native,6,*,6,*,N/A,N/A
Darien School District,0350011,Race/Ethnicity,Asian,108,90.9,108,94.4,N/A,N/A
Darien School District,0350011,Race/Ethnicity,Black or African American,22,61.9,22,53.1,N/A,N/A
Darien School District,0350011,Race/Ethnicity,Hispanic or Latino,122,76.2,122,74.2,N/A,N/A
Darien School District,0350011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Darien School District,0350011,Race/Ethnicity,Two or More Races,61,88.3,61,89.9,N/A,N/A
Darien School District,0350011,Race/Ethnicity,White,2211,82.6,2211,81.2,N/A,N/A
Darien School District,0350011,Special Education Status (SWD),Students with Disabilities,354,64.6,354,61.7,N/A,N/A
Darien School District,0350011,Special Education Status (SWD),Students without Disabilities,2177,85.5,2177,84.6,N/A,N/A
Deep River School District,0360011,All Students,District,170,76.6,170,72.9,N/A,N/A
Deep River School District,0360011,English Language Learners (EL),English Learners,12,*,12,*,N/A,N/A
Deep River School District,0360011,English Language Learners (EL),Not English Learners,158,76.7,158,73.5,N/A,N/A
Deep River School District,0360011,Gender,Female,87,79.9,87,72.5,N/A,N/A
Deep River School District,0360011,Gender,Male,83,73.1,83,73.4,N/A,N/A
Deep River School District,0360011,Grade,3,41,74.2,41,75.6,N/A,N/A
Deep River School District,0360011,Grade,4,31,84.5,31,78.9,N/A,N/A
Deep River School District,0360011,Grade,5,44,72.1,44,70.2,N/A,N/A
Deep River School District,0360011,Grade,6,54,77.4,54,69.8,N/A,N/A
Deep River School District,0360011,"High Needs (F/R, EL or SWD)",High Needs,62,67.1,62,63.8,N/A,N/A
Deep River School District,0360011,"High Needs (F/R, EL or SWD)",Not High Needs,108,82,108,78.2,N/A,N/A
Deep River School District,0360011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,45,69.9,45,67.5,N/A,N/A
Deep River School District,0360011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,125,79,125,74.9,N/A,N/A
Deep River School District,0360011,Race/Ethnicity,Asian,*,*,*,*,N/A,N/A
Deep River School District,0360011,Race/Ethnicity,Black or African American,*,*,*,*,N/A,N/A
Deep River School District,0360011,Race/Ethnicity,Hispanic or Latino,17,*,17,*,N/A,N/A
Deep River School District,0360011,Race/Ethnicity,Two or More Races,7,*,7,*,N/A,N/A
Deep River School District,0360011,Race/Ethnicity,White,141,77.2,141,73.7,N/A,N/A
Deep River School District,0360011,Special Education Status (SWD),Students with Disabilities,25,53.4,25,53,N/A,N/A
Deep River School District,0360011,Special Education Status (SWD),Students without Disabilities,145,80.6,145,76.4,N/A,N/A
Derby School District,0370011,All Students,District,718,58.5,718,52.1,N/A,N/A
Derby School District,0370011,English Language Learners (EL),English Learners,61,50.7,61,42.9,N/A,N/A
Derby School District,0370011,English Language Learners (EL),Not English Learners,657,59.3,657,53,N/A,N/A
Derby School District,0370011,Gender,Female,342,62.5,342,53.5,N/A,N/A
Derby School District,0370011,Gender,Male,376,55,376,50.8,N/A,N/A
Derby School District,0370011,Grade,3,96,65.8,96,55.5,N/A,N/A
Derby School District,0370011,Grade,4,104,65.4,104,64.3,N/A,N/A
Derby School District,0370011,Grade,5,113,60.2,113,57.9,N/A,N/A
Derby School District,0370011,Grade,6,124,54.9,124,47.3,N/A,N/A
Derby School District,0370011,Grade,7,97,58.7,97,47.9,N/A,N/A
Derby School District,0370011,Grade,8,119,53.1,119,45.9,N/A,N/A
Derby School District,0370011,Grade,11,65,50.6,65,44.5,N/A,N/A
Derby School District,0370011,"High Needs (F/R, EL or SWD)",High Needs,520,54.4,520,47.6,N/A,N/A
Derby School District,0370011,"High Needs (F/R, EL or SWD)",Not High Needs,198,69.5,198,64,N/A,N/A
Derby School District,0370011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,491,54.7,491,48,N/A,N/A
Derby School District,0370011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,227,66.9,227,61.1,N/A,N/A
Derby School District,0370011,Race/Ethnicity,Asian,17,*,17,*,N/A,N/A
Derby School District,0370011,Race/Ethnicity,Black or African American,115,48.4,115,41.5,N/A,N/A
Derby School District,0370011,Race/Ethnicity,Hispanic or Latino,220,55.2,220,46.9,N/A,N/A
Derby School District,0370011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Derby School District,0370011,Race/Ethnicity,Two or More Races,40,58.7,40,49.6,N/A,N/A
Derby School District,0370011,Race/Ethnicity,White,324,63.3,324,58.5,N/A,N/A
Derby School District,0370011,Special Education Status (SWD),Students with Disabilities,123,39.4,123,32.6,N/A,N/A
Derby School District,0370011,Special Education Status (SWD),Students without Disabilities,595,62.5,595,56.2,N/A,N/A
Eastford School District,0390011,All Students,District,91,70.2,91,66.7,N/A,N/A
Eastford School District,0390011,English Language Learners (EL),Not English Learners,91,70.2,91,66.7,N/A,N/A
Eastford School District,0390011,Gender,Female,42,68.3,42,61.6,N/A,N/A
Eastford School District,0390011,Gender,Male,49,71.8,49,71.1,N/A,N/A
Eastford School District,0390011,Grade,3,12,*,12,*,N/A,N/A
Eastford School District,0390011,Grade,4,14,*,14,*,N/A,N/A
Eastford School District,0390011,Grade,5,17,*,17,*,N/A,N/A
Eastford School District,0390011,Grade,6,12,*,12,*,N/A,N/A
Eastford School District,0390011,Grade,7,21,72.3,21,62.7,N/A,N/A
Eastford School District,0390011,Grade,8,15,*,15,*,N/A,N/A
Eastford School District,0390011,"High Needs (F/R, EL or SWD)",High Needs,42,64.4,42,59.6,N/A,N/A
Eastford School District,0390011,"High Needs (F/R, EL or SWD)",Not High Needs,49,75.1,49,72.8,N/A,N/A
Eastford School District,0390011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,31,65,31,62.6,N/A,N/A
Eastford School District,0390011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,60,72.9,60,68.9,N/A,N/A
Eastford School District,0390011,Race/Ethnicity,Hispanic or Latino,8,*,8,*,N/A,N/A
Eastford School District,0390011,Race/Ethnicity,Two or More Races,*,*,*,*,N/A,N/A
Eastford School District,0390011,Race/Ethnicity,White,78,70.2,78,66.9,N/A,N/A
Eastford School District,0390011,Special Education Status (SWD),Students with Disabilities,19,*,19,*,N/A,N/A
Eastford School District,0390011,Special Education Status (SWD),Students without Disabilities,72,73.5,72,71.2,N/A,N/A
East Granby School District,0400011,All Students,District,469,74,467,71.6,N/A,N/A
East Granby School District,0400011,English Language Learners (EL),English Learners,18,*,18,*,N/A,N/A
East Granby School District,0400011,English Language Learners (EL),Not English Learners,451,73.9,449,71.4,N/A,N/A
East Granby School District,0400011,Gender,Female,227,77.3,226,71.8,N/A,N/A
East Granby School District,0400011,Gender,Male,242,70.9,241,71.4,N/A,N/A
East Granby School District,0400011,Grade,3,62,76.1,62,74.2,N/A,N/A
East Granby School District,0400011,Grade,4,72,80.1,72,78.3,N/A,N/A
East Granby School District,0400011,Grade,5,71,76.3,71,78.6,N/A,N/A
East Granby School District,0400011,Grade,6,51,74.5,51,70.5,N/A,N/A
East Granby School District,0400011,Grade,7,72,77.5,70,72.7,N/A,N/A
East Granby School District,0400011,Grade,8,67,70.3,67,66.4,N/A,N/A
East Granby School District,0400011,Grade,11,74,63.7,74,60.5,N/A,N/A
East Granby School District,0400011,"High Needs (F/R, EL or SWD)",High Needs,122,61.1,120,57.8,N/A,N/A
East Granby School District,0400011,"High Needs (F/R, EL or SWD)",Not High Needs,347,78.5,347,76.4,N/A,N/A
East Granby School District,0400011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,58,63.1,57,58.1,N/A,N/A
East Granby School District,0400011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,411,75.5,410,73.5,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,Asian,32,83.1,32,84.1,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,Black or African American,40,61.9,39,56.3,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,Hispanic or Latino,29,62.2,29,61.6,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,Two or More Races,9,*,9,*,N/A,N/A
East Granby School District,0400011,Race/Ethnicity,White,358,75.6,357,73,N/A,N/A
East Granby School District,0400011,Special Education Status (SWD),Students with Disabilities,64,54.3,63,51.1,N/A,N/A
East Granby School District,0400011,Special Education Status (SWD),Students without Disabilities,405,77.1,404,74.8,N/A,N/A
East Haddam School District,0410011,All Students,District,497,73.7,495,67.1,N/A,N/A
East Haddam School District,0410011,English Language Learners (EL),English Learners,*,*,*,*,N/A,N/A
East Haddam School District,0410011,English Language Learners (EL),Not English Learners,495,73.7,493,67.1,N/A,N/A
East Haddam School District,0410011,Gender,Female,231,77,231,67.6,N/A,N/A
East Haddam School District,0410011,Gender,Male,266,70.8,264,66.8,N/A,N/A
East Haddam School District,0410011,Grade,3,66,76.1,65,72.7,N/A,N/A
East Haddam School District,0410011,Grade,4,76,78.6,75,73.7,N/A,N/A
East Haddam School District,0410011,Grade,5,69,73.6,69,65,N/A,N/A
East Haddam School District,0410011,Grade,6,71,75.7,71,65.2,N/A,N/A
East Haddam School District,0410011,Grade,7,66,78.5,66,71.6,N/A,N/A
East Haddam School District,0410011,Grade,8,79,72,79,65.6,N/A,N/A
East Haddam School District,0410011,Grade,11,70,61.4,70,56.4,N/A,N/A
East Haddam School District,0410011,"High Needs (F/R, EL or SWD)",High Needs,162,64,160,57.6,N/A,N/A
East Haddam School District,0410011,"High Needs (F/R, EL or SWD)",Not High Needs,335,78.4,335,71.7,N/A,N/A
East Haddam School District,0410011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,117,67.8,116,62.1,N/A,N/A
East Haddam School District,0410011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,380,75.5,379,68.7,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,Asian,6,*,6,*,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,Black or African American,*,*,*,*,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,Hispanic or Latino,14,*,14,*,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,Two or More Races,6,*,*,*,N/A,N/A
East Haddam School District,0410011,Race/Ethnicity,White,465,73.6,464,67.2,N/A,N/A
East Haddam School District,0410011,Special Education Status (SWD),Students with Disabilities,65,50.7,63,44.8,N/A,N/A
East Haddam School District,0410011,Special Education Status (SWD),Students without Disabilities,432,77.1,432,70.4,N/A,N/A
East Hampton School District,0420011,All Students,District,990,71.1,989,65.2,N/A,N/A
East Hampton School District,0420011,English Language Learners (EL),English Learners,20,60.3,20,57.6,N/A,N/A
East Hampton School District,0420011,English Language Learners (EL),Not English Learners,970,71.3,969,65.4,N/A,N/A
East Hampton School District,0420011,Gender,Female,496,73.4,496,64.9,N/A,N/A
East Hampton School District,0420011,Gender,Male,494,68.8,493,65.5,N/A,N/A
East Hampton School District,0420011,Grade,3,129,73.3,128,65.8,N/A,N/A
East Hampton School District,0420011,Grade,4,146,77.5,146,73.3,N/A,N/A
East Hampton School District,0420011,Grade,5,164,73,164,67.4,N/A,N/A
East Hampton School District,0420011,Grade,6,153,73.2,153,66.8,N/A,N/A
East Hampton School District,0420011,Grade,7,131,67.3,131,61.2,N/A,N/A
East Hampton School District,0420011,Grade,8,141,69.4,141,61,N/A,N/A
East Hampton School District,0420011,Grade,11,126,62.3,126,59.5,N/A,N/A
East Hampton School District,0420011,"High Needs (F/R, EL or SWD)",High Needs,251,62.6,251,55.9,N/A,N/A
East Hampton School District,0420011,"High Needs (F/R, EL or SWD)",Not High Needs,739,74,738,68.4,N/A,N/A
East Hampton School District,0420011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,173,65,173,58,N/A,N/A
East Hampton School District,0420011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,817,72.4,816,66.8,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,Asian,12,*,12,*,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,Black or African American,13,*,13,*,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,Hispanic or Latino,51,68.4,51,57.6,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,Two or More Races,25,73.5,25,66.8,N/A,N/A
East Hampton School District,0420011,Race/Ethnicity,White,885,71.5,884,65.8,N/A,N/A
East Hampton School District,0420011,Special Education Status (SWD),Students with Disabilities,95,53.3,95,47,N/A,N/A
East Hampton School District,0420011,Special Education Status (SWD),Students without Disabilities,895,73,894,67.2,N/A,N/A
East Hartford School District,0430011,All Students,District,3421,57.6,3395,50.1,N/A,N/A
East Hartford School District,0430011,English Language Learners (EL),English Learners,564,49.5,559,43.8,N/A,N/A
East Hartford School District,0430011,English Language Learners (EL),Not English Learners,2857,59.1,2836,51.4,N/A,N/A
East Hartford School District,0430011,Gender,Female,1631,61.9,1616,52.7,N/A,N/A
East Hartford School District,0430011,Gender,Male,1790,53.6,1779,47.8,N/A,N/A
East Hartford School District,0430011,Grade,3,481,61.3,479,52.8,N/A,N/A
East Hartford School District,0430011,Grade,4,548,60.7,540,53.1,N/A,N/A
East Hartford School District,0430011,Grade,5,535,58.9,532,51.4,N/A,N/A
East Hartford School District,0430011,Grade,6,469,57.8,462,48.8,N/A,N/A
East Hartford School District,0430011,Grade,7,440,57.9,436,49.1,N/A,N/A
East Hartford School District,0430011,Grade,8,451,55.9,449,48.8,N/A,N/A
East Hartford School District,0430011,Grade,11,497,50.1,497,46.1,N/A,N/A
East Hartford School District,0430011,"High Needs (F/R, EL or SWD)",High Needs,2701,54.9,2678,47.6,N/A,N/A
East Hartford School District,0430011,"High Needs (F/R, EL or SWD)",Not High Needs,720,67.5,717,59.4,N/A,N/A
East Hartford School District,0430011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,2486,55.7,2462,48.3,N/A,N/A
East Hartford School District,0430011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,935,62.6,933,54.9,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,Asian,153,67.2,153,62.8,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,Black or African American,1135,57.3,1122,48.8,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,Hispanic or Latino,1600,54.5,1588,47.5,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,Two or More Races,7,*,7,*,N/A,N/A
East Hartford School District,0430011,Race/Ethnicity,White,519,64.9,518,57.5,N/A,N/A
East Hartford School District,0430011,Special Education Status (SWD),Students with Disabilities,672,40.6,667,33.9,N/A,N/A
East Hartford School District,0430011,Special Education Status (SWD),Students without Disabilities,2749,61.7,2728,54.1,N/A,N/A
East Haven School District,0440011,All Students,District,1371,61.3,1370,55.6,N/A,N/A
East Haven School District,0440011,English Language Learners (EL),English Learners,182,53.7,181,50.7,N/A,N/A
East Haven School District,0440011,English Language Learners (EL),Not English Learners,1189,62.5,1189,56.4,N/A,N/A
East Haven School District,0440011,Gender,Female,688,64.4,687,55.8,N/A,N/A
East Haven School District,0440011,Gender,Male,683,58.2,683,55.5,N/A,N/A
East Haven School District,0440011,Grade,3,198,65,198,59.8,N/A,N/A
East Haven School District,0440011,Grade,4,185,68.2,184,64.4,N/A,N/A
East Haven School District,0440011,Grade,5,191,67.2,191,61.5,N/A,N/A
East Haven School District,0440011,Grade,6,200,64.2,200,56.8,N/A,N/A
East Haven School District,0440011,Grade,7,202,58.8,202,48.8,N/A,N/A
East Haven School District,0440011,Grade,8,205,55.3,205,51.3,N/A,N/A
East Haven School District,0440011,Grade,11,190,51.3,190,47.7,N/A,N/A
East Haven School District,0440011,"High Needs (F/R, EL or SWD)",High Needs,773,56.1,772,50.8,N/A,N/A
East Haven School District,0440011,"High Needs (F/R, EL or SWD)",Not High Needs,598,68.1,598,61.8,N/A,N/A
East Haven School District,0440011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,629,58.1,628,52.3,N/A,N/A
East Haven School District,0440011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,742,64.1,742,58.4,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,Asian,50,62.9,49,62.4,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,Black or African American,63,54.8,63,44,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,Hispanic or Latino,351,58.3,351,52.8,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,Two or More Races,23,62.5,23,58.3,N/A,N/A
East Haven School District,0440011,Race/Ethnicity,White,882,62.9,882,57.2,N/A,N/A
East Haven School District,0440011,Special Education Status (SWD),Students with Disabilities,190,41.7,190,37.2,N/A,N/A
East Haven School District,0440011,Special Education Status (SWD),Students without Disabilities,1181,64.5,1180,58.6,N/A,N/A
East Lyme School District,0450011,All Students,District,1364,76.8,1364,72.2,N/A,N/A
East Lyme School District,0450011,English Language Learners (EL),English Learners,48,74.3,48,74.1,N/A,N/A
East Lyme School District,0450011,English Language Learners (EL),Not English Learners,1316,76.9,1316,72.1,N/A,N/A
East Lyme School District,0450011,Gender,Female,672,77.9,672,70.9,N/A,N/A
East Lyme School District,0450011,Gender,Male,692,75.7,692,73.4,N/A,N/A
East Lyme School District,0450011,Grade,3,163,81.4,163,81.6,N/A,N/A
East Lyme School District,0450011,Grade,4,192,84.7,192,83.1,N/A,N/A
East Lyme School District,0450011,Grade,5,162,76.6,162,68.6,N/A,N/A
East Lyme School District,0450011,Grade,6,195,78.1,195,71.5,N/A,N/A
East Lyme School District,0450011,Grade,7,203,80.9,203,73.1,N/A,N/A
East Lyme School District,0450011,Grade,8,210,75,210,68.1,N/A,N/A
East Lyme School District,0450011,Grade,11,239,64.2,239,62.6,N/A,N/A
East Lyme School District,0450011,"High Needs (F/R, EL or SWD)",High Needs,377,65.5,377,61.1,N/A,N/A
East Lyme School District,0450011,"High Needs (F/R, EL or SWD)",Not High Needs,987,81.1,987,76.4,N/A,N/A
East Lyme School District,0450011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,213,67.2,213,62.1,N/A,N/A
East Lyme School District,0450011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,1151,78.5,1151,74,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,Asian,133,85.8,133,88.7,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,Black or African American,27,74.3,27,63.6,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,Hispanic or Latino,96,72.7,96,66.2,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,Two or More Races,65,73.1,65,64,N/A,N/A
East Lyme School District,0450011,Race/Ethnicity,White,1040,76.3,1040,71.3,N/A,N/A
East Lyme School District,0450011,Special Education Status (SWD),Students with Disabilities,187,57.7,187,52.8,N/A,N/A
East Lyme School District,0450011,Special Education Status (SWD),Students without Disabilities,1177,79.8,1177,75.3,N/A,N/A
Easton School District,0460011,All Students,District,604,83.3,604,77.6,N/A,N/A
Easton School District,0460011,English Language Learners (EL),English Learners,14,*,14,*,N/A,N/A
Easton School District,0460011,English Language Learners (EL),Not English Learners,590,83.5,590,77.6,N/A,N/A
Easton School District,0460011,Gender,Female,307,85.3,308,76.8,N/A,N/A
Easton School District,0460011,Gender,Male,297,81.3,296,78.3,N/A,N/A
Easton School District,0460011,Grade,3,88,82.3,88,78.4,N/A,N/A
Easton School District,0460011,Grade,4,97,83,96,79.5,N/A,N/A
Easton School District,0460011,Grade,5,100,86.6,100,81.2,N/A,N/A
Easton School District,0460011,Grade,6,102,85.6,103,81.9,N/A,N/A
Easton School District,0460011,Grade,7,121,82,121,72.4,N/A,N/A
Easton School District,0460011,Grade,8,96,80.3,96,73,N/A,N/A
Easton School District,0460011,"High Needs (F/R, EL or SWD)",High Needs,114,69.5,114,62.4,N/A,N/A
Easton School District,0460011,"High Needs (F/R, EL or SWD)",Not High Needs,490,86.6,490,81.1,N/A,N/A
Easton School District,0460011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,21,71.9,21,64.9,N/A,N/A
Easton School District,0460011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,583,83.7,583,78,N/A,N/A
Easton School District,0460011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Easton School District,0460011,Race/Ethnicity,Asian,37,87.1,37,84.1,N/A,N/A
Easton School District,0460011,Race/Ethnicity,Black or African American,*,*,*,*,N/A,N/A
Easton School District,0460011,Race/Ethnicity,Hispanic or Latino,38,75.3,38,65.9,N/A,N/A
Easton School District,0460011,Race/Ethnicity,Two or More Races,26,88.9,26,84.9,N/A,N/A
Easton School District,0460011,Race/Ethnicity,White,495,83.2,495,77.6,N/A,N/A
Easton School District,0460011,Special Education Status (SWD),Students with Disabilities,89,66.7,89,59,N/A,N/A
Easton School District,0460011,Special Education Status (SWD),Students without Disabilities,515,86.2,515,80.8,N/A,N/A
East Windsor School District,0470011,All Students,District,499,61.9,501,55.3,N/A,N/A
East Windsor School District,0470011,English Language Learners (EL),English Learners,25,52.1,25,51.3,N/A,N/A
East Windsor School District,0470011,English Language Learners (EL),Not English Learners,474,62.4,476,55.5,N/A,N/A
East Windsor School District,0470011,Gender,Female,226,64.5,226,54.2,N/A,N/A
East Windsor School District,0470011,Gender,Male,273,59.7,275,56.2,N/A,N/A
East Windsor School District,0470011,Grade,3,60,62.8,61,58.5,N/A,N/A
East Windsor School District,0470011,Grade,4,77,68.2,77,65.1,N/A,N/A
East Windsor School District,0470011,Grade,5,83,57.9,83,55.6,N/A,N/A
East Windsor School District,0470011,Grade,6,64,68.9,64,58.2,N/A,N/A
East Windsor School District,0470011,Grade,7,76,61.9,77,50,N/A,N/A
